,Train Loss,Test Loss,Train Accuracy,Test Accuracy
190,1.071337628364563,1.1444698572158811,0.6703,0.6025
191,1.056325101852417,1.119221031665802,0.6811,0.62
192,1.039354634284973,1.1289604306221008,0.695,0.6125
193,1.031046199798584,1.1175835728645325,0.7147,0.6225
194,1.0463505744934083,1.1137352585792542,0.6969,0.62
195,1.0243394136428834,1.1179984211921692,0.7136,0.6075
196,1.031502890586853,1.1073368787765503,0.7172,0.6325
197,1.018454051017761,1.104213535785675,0.7292,0.6225
198,1.0271950006484984,1.101721107959747,0.7156,0.6375
199,1.0282955408096313,1.1154850721359253,0.7136,0.615
200,1.0217801094055177,1.1065797805786133,0.7228,0.63
201,1.0437119245529174,1.1190339922904968,0.6922,0.6275
202,1.0218988418579102,1.109777808189392,0.7219,0.63
203,1.0229280948638917,1.1071356534957886,0.7172,0.635
204,1.0283456325531006,1.1153101921081543,0.7136,0.6225
205,1.0235612034797668,1.1187723278999329,0.7164,0.6175
206,1.0293253898620605,1.1051810383796692,0.7142,0.6275
207,1.0291122198104858,1.1324887871742249,0.7125,0.6075
208,1.0198185920715332,1.1033366322517395,0.7217,0.6325
209,1.0218367218971252,1.1128110885620115,0.7206,0.615
210,1.0311792135238649,1.125106394290924,0.7089,0.6025
211,1.0203113079071044,1.1053436398506165,0.7192,0.6325
212,1.021467208862305,1.1046287417411804,0.7222,0.625
213,1.01978520154953,1.095584213733673,0.7192,0.6375
214,1.0290873765945434,1.113516330718994,0.7203,0.625
215,1.03412868976593,1.124375402927399,0.7033,0.615
216,1.033689594268799,1.11033034324646,0.7117,0.625
217,1.0165717363357545,1.1077516674995422,0.7239,0.6325
218,1.025898313522339,1.1083782315254211,0.7183,0.6325
219,1.0197932481765748,1.1112257838249209,0.7236,0.6175
220,1.0241832256317138,1.1036876440048218,0.7147,0.6275
221,1.020728015899658,1.1060951948165894,0.7239,0.6375
222,1.0234227895736694,1.1141769289970398,0.7272,0.6175
223,1.0195152044296265,1.0946263074874878,0.7303,0.6375
224,1.0194661140441894,1.114307880401611,0.7233,0.6225
225,1.0190074920654295,1.1127614974975586,0.7258,0.6175
226,1.0187933802604676,1.1036513447761536,0.7169,0.635
227,1.0216464281082154,1.108084857463837,0.7214,0.635
228,1.0232404351234436,1.110205888748169,0.7169,0.62
229,1.0204672336578369,1.1005346179008484,0.7283,0.635
230,1.0136290192604065,1.111930072307587,0.7272,0.6175
231,1.0199226140975952,1.109902560710907,0.7267,0.635
232,1.0242063403129578,1.1166274547576904,0.7161,0.615
233,1.0181786179542542,1.0993320941925049,0.7308,0.6325
234,1.0147133111953734,1.0951727032661438,0.7264,0.645
235,1.0150583505630493,1.0994410514831543,0.7289,0.635
236,1.016679573059082,1.104145050048828,0.7228,0.635
237,1.012766993045807,1.1055485010147097,0.7278,0.6275
238,1.018003249168396,1.104369819164276,0.7239,0.6325
239,1.012609052658081,1.1079177260398865,0.7292,0.62
240,1.0150038957595826,1.1168436408042908,0.7278,0.61
241,1.0131064772605896,1.0952162146568298,0.7356,0.6425
242,1.0075810194015502,1.1029412746429443,0.7375,0.6275
243,1.0097218036651612,1.1050211191177368,0.7364,0.635
244,1.0129144191741943,1.1094165444374084,0.7292,0.62
245,1.0109967827796935,1.107058048248291,0.7256,0.635
246,1.0186039924621582,1.1078592538833618,0.7294,0.625
247,1.0166882395744323,1.1047825813293457,0.7222,0.635
248,1.0150005340576171,1.1131232380867004,0.7244,0.6225
249,1.019814991950989,1.10392165184021,0.7269,0.62
250,1.0093931794166564,1.1105284690856934,0.7286,0.6225
251,1.0078376293182374,1.104658544063568,0.7331,0.63
252,1.0145437359809877,1.0993025302886963,0.7242,0.635
253,1.0398946285247803,1.0995476841926577,0.7086,0.6375
254,1.0180880665779113,1.1276382803916931,0.7197,0.6075
255,1.015840744972229,1.1150406002998352,0.7281,0.615
256,1.0062814354896543,1.1024376153945925,0.7386,0.6325
257,1.0093977451324463,1.1004103422164917,0.7392,0.625
258,1.008590006828308,1.096666693687439,0.7372,0.6425
259,1.0040023922920227,1.1055113673210144,0.7408,0.625
260,1.0113846898078918,1.1136430501937866,0.7333,0.6175
261,1.010036015510559,1.1060604453086853,0.7372,0.6325
262,1.0129128217697143,1.102409303188324,0.7356,0.63
263,1.0047834277153016,1.1067909598350525,0.7386,0.625
264,1.0239683389663696,1.0978466272354126,0.7167,0.6475
265,1.0151367783546448,1.1146023869514463,0.7247,0.6275
266,1.0117823719978332,1.1115828156471252,0.7303,0.6225
267,1.0097368597984313,1.0977720618247986,0.7289,0.64
