,Train Loss,Test Loss,Train Accuracy,Test Accuracy
59,1.046140718460083,1.0848913192749023,0.6914,0.6475
60,1.0478721380233764,1.078270137310028,0.6886,0.665
61,1.0382813811302185,1.0882428884506226,0.6981,0.655
62,1.049897408485413,1.1021447777748108,0.6942,0.63
63,1.0485425472259522,1.0766474604606628,0.6964,0.6675
64,1.0598055839538574,1.0753246545791626,0.6731,0.67
65,1.066850185394287,1.113251507282257,0.6642,0.625
66,1.0600170850753785,1.082505285739899,0.6794,0.655
67,1.0695662021636962,1.1072774529457092,0.6756,0.63
68,1.0423610925674438,1.0802278518676758,0.6942,0.66
69,1.0475276231765749,1.077427089214325,0.6981,0.66
70,1.0365246295928956,1.0980123281478882,0.6992,0.6275
71,1.038380002975464,1.0837316513061523,0.7042,0.65
72,1.035876178741455,1.0861165523529053,0.7061,0.645
73,1.0342977046966553,1.0921396613121033,0.7044,0.645
74,1.0387832164764403,1.0773531794548037,0.7108,0.665
75,1.0364627242088318,1.083039164543152,0.7092,0.6575
76,1.0352182865142825,1.083861768245697,0.7175,0.6525
77,1.0349279642105105,1.0848398804664612,0.7053,0.6525
78,1.0365082025527954,1.09938383102417,0.7053,0.6375
79,1.049701976776123,1.078297138214111,0.6922,0.655
80,1.043699955940247,1.1217498779296875,0.7006,0.6125
81,1.0396469354629516,1.0759020447731018,0.7014,0.6675
82,1.0327089071273805,1.0959418416023254,0.7064,0.645
83,1.026363468170166,1.0891286134719849,0.7169,0.645
84,1.0212974071502685,1.077975571155548,0.7217,0.66
85,1.0204822540283205,1.0977078676223757,0.7247,0.6425
86,1.032425916194916,1.0756235122680664,0.71,0.665
87,1.0372580289840698,1.1109583973884585,0.7042,0.62
88,1.0413167476654053,1.085660755634308,0.7097,0.6525
89,1.022806453704834,1.093713641166687,0.7203,0.6425
90,1.030340313911438,1.0766969323158264,0.7111,0.6625
91,1.0176288962364195,1.0873366594314575,0.7269,0.6475
92,1.017285406589508,1.0813652873039246,0.7264,0.6625
93,1.016250491142273,1.0924633145332336,0.7314,0.6525
94,1.0136220097541808,1.0870479941368103,0.7303,0.6525
95,1.010145652294159,1.0910508632659912,0.7356,0.6475
96,1.0104470133781434,1.0957814455032349,0.7381,0.6525
97,1.013623332977295,1.0918339490890503,0.7303,0.6475
98,1.0071112990379334,1.0972575545310974,0.7289,0.645
99,1.030338442325592,1.0801971554756165,0.7142,0.6575
100,1.0202818632125854,1.0915531516075134,0.7286,0.65
101,1.020368504524231,1.0887447595596311,0.7217,0.6525
102,1.0132726073265077,1.1163426041603088,0.7275,0.625
103,1.0216283798217771,1.0810768008232117,0.7211,0.6575
104,1.0147921681404113,1.1006178259849548,0.7358,0.6325
105,1.0132153153419494,1.0975974202156067,0.7342,0.645
106,1.0028118014335632,1.101283609867096,0.7394,0.6375
107,1.0099699258804322,1.0976445078849792,0.7339,0.645
108,1.0055755376815796,1.0956981778144836,0.7381,0.6375
109,1.0040496110916135,1.0878470540046692,0.7375,0.6525
110,1.0125792741775512,1.1054816246032717,0.7267,0.6325
111,1.0199866533279418,1.0845543146133425,0.7156,0.66
112,1.009848916530609,1.0962657928466797,0.7364,0.645
113,1.0104499816894532,1.1054937243461609,0.7303,0.64
114,1.0095662117004394,1.0951740741729736,0.7389,0.64
115,1.0044906973838803,1.0895906686782837,0.7344,0.655
